text,pred_label
my baby is 2  5 yrs old  now he is suffering from typhoid  after consulting the doc  i give antibiotics  now he is free from the temp  but foe excess chill he refuse to take food  he wants to sleep anytime n cries most of the time  pls help me what should i do  i m in a lot of tension  pls help me mommies      ,1
till what age does oil massage need to be done before bath for toddlers   anyone doing oil massage for 23 years old kid   if yes how many days a week do u do oil massage   and which oil do u use  ,1
hi mommies   my son is 18 months i have concern about his behavior some time he doesnt response when we call him hes active but the same time he hardly speak few words is it normal   ,1
he is on both        fm nd bm,0
honey and ginger is very effective   also dabbing 12 drops of eucalyptus oil on the babys clothes helps in breathing and your baby will be able to sleep better,0
hi all moms     pls give some weight gain tips for my twin boy babies     they are 3  5 now    ,1
shambhavi shukla sehgal should i grate cheese n paneer my lo is going to b 8 months on 17,0
hey frnds i m 9 month pregent if doc say baby bladder is full kidney are swollen bcoz baby nt done urine    so is it riseky      ,1
apka kya experience tha 9th month ke vaccination ke bare main,0
give the baby tummy time    apply a bit baby oil in the anus area    do cycling with the legs of the baby    ,0
this is like some insectbite apply some coconut oil   it will get soon,0
curd de skte h 6 month bby ko meri 7 ki ho gyi kese du use curf,0
hi all    in which seasons ragi malt can be given to babies      ,0
yes but start should b in9th month,0
what u mean by feeling    ,0
hello doctor     my little one is 4 months old and cries for milk after every hour   even during sleeping   i breastfeed him and once in the whole day give him formula milk   when should i introduce solids to him and in how much quantity   also   what all can be given to him to eat    ,1
hii mommies  im mother of 1 month baby girl     she is on bm    im suffering with cough      and she is also suffering from cough      vat i need to do    plz suggest    im feeling helpless      ,1
important had kya,0
indu aanshi meei toh isi umeed mei hu jb mere devr ki shadi hgi tb shyd saas humko alg kr de saas ne 3 ghr toh khreede hue h pr bhjti nhi humko       chipki padhi h mujse ptah nhi kya pyar h muje toh ek min nhi rha jata sath,0
yes very true     banana is very good for kids     i give banana whenever my kids ask     morning evening or night,0
how to reduce the belly after c sec   kindly advise,0
drink beetroot juice in empty stomach every morning         it will do wonders in ur haemoglobin level  give it a try for 15 days     u will c d change in count,0
you please do not drink hot coffee or milk,0
agar apne recently abortion karaya hai tho kam se kam apko 6 month with karna chahiye      meri devrani ka bhi yahi hua 1 month 15 days ka miscarriage hua tha       hum sab ne use suggest kiya ki 6 month wait karo       pichle june main ye sab hua tha now she is 7 month pregnant       so ap bhi thora wait kijiye,0
hello moms       my son is sik     and he is 20 months kid   can you please tell me the normal pulse rate and heart beat for sik kids     and he is suffering from cough  ,1
take him for dining etiquette workshop after watching so many kids he will learn a lot  ,0
he is 2 year old,0
my 9 month baby ke hair ma juye ho gayi h kya kru,0
its been 10 months i havent got it       get scared smtime no prob with the body       asked doc many times       thy say its v normal       shld i do sm test,0
hello friends          ragi kya hota ha or market me kha par milta ha or iska babies k liye kya benefit ha plz btaiye moms          thanks,1
may be sum1 in your family is expecting        bhai ya bhen aane wala hota hai,0
hie mothers can l give my 6 months baby sour milk  please helpl,0
dear   avoid sugar oily food    eat green vegetable   n drink atleast 15 glass water   and do some exercise like squat   and skipping i hope now u can understand   still if u hav any doubt so ping me on 9074422853 and drink zeera water wid lemon  ,0
hello momies pls help  my baby is 1 year old       he is pooping several times a day but the thing is that its bot normal poop its just a spot      even when he do susu and farts the little poop came out         is anything to worry  ,1
parle g hv glucose so doctor said no        ,0
i personally feel you should not take such a small baby in such a crowded place   that too its going to be closed n continuous ac      besides loud sound n bright lights       both are not good for baby      n these days   climate is also changing      there cud b a risk of viral or any other infection       why do you want to take such a risk just to please an aunty of yours       who is more important         and in any case   you still take your baby       i dont know how long the baby will stay calm       u might have to walk out with an crying baby in between the movie         u can always watch a movie at the comfort of your home anytime      ,1
my 18 month baby having green poop   wid mucus since morning 6 times what to do friends what can b d reason,0
salaam momies  meri beti gir gai thi 3 4 days phele us tym sahe thi bx thora roi thi lkn aj mene dkha halka sa nil pr gya h aur wo jaga andr sa moti ho ri ha cheeks pr hoa ha kia kro k wo thk ho jye,0
there are other products in market specifically for new borns   try them like moms co     donum these are totally toxin free products,1
hello mommies  any good homeopathic doctor in south delhi for kids  thanks in advance,1
u can use lactare granule        2 spoon with glass of milk in 2 or 3 time as ur need          its not harmful          nd use lots of jeera nd methi in food          drink los of water            milk me sabse jyada pani hi hota he,0
my seven months baby is having loose motion since 6 days     took him to pedia     his medicines are also going on     but his motion is not stopping only     ,0
hello everyone after delivery muje 1 year k bad periods aye nd tb sahi aye lkin eske bad ab ek din b ni chle bht kam bs   is there any problem   ,1
meri 4n half years kia beti h   use two days loose motion h   use oflox syrup or darolac pouch diya h   but abhi thik nahi h kya karu,0
hi  my baby   8 month   is not drinking water from last two days until she drank well   i m giving her by spoon nowadays   i tried with different flavors   do u have any idea that she starts drinking water  ,0
hi plz suggest me how to make homemade kajal     my daughter is 7 month old,1
same prblm dear mene to ab har man li wo piti hi nhi he kya kru,0
my daughter some times rub her nose    when she was hungry     i think these is not worried,0
meri baby 1 year ki ho jayegi abhi wo kuch dino se kuch nhi khaa rhi h sirf breast milk le rhi h kya kru     ,0
while feeding my breast pains very much   any remedy to cure the pain   ,1
hi mera beta 6 months ka hai or uske teeth are hai to uske taalu me desi ghee lgake use garam rakhe ya thanda rkhna hai koi kehta h thanda rkho koi kehta h ki garam rkho desi ghee lga k,0
what are the best books for 6 months baby for bed time  ,0
choose healthy and natural foods at 6 months of age   please avoid any refined food stuff    ,1
hi all    before period im having fever  vertigo and low bp from last 5months wat s the reason behind this  i consulted many doctors but no use so pls give me suggestions thanks in advance,1
hi   my baby is 15months old    i am feeding till now but my weight is reducing day by day and becoming lean     to increase the weight what shall i do   can you plz suggest me   ,1
when we should give cow milk our baby  ,0
feeling frustrated and sad        dont know how and what i need to do to make my baby eat at least little food        my baby is 1 year 10 days old since 3 days not eating anything even fruitsjuice only she want my milk        any solution please      ,1
please go to the doctor,0
4 month ki h baby      mai deti hu letke      but ab suna h bche ka ear behne lag jata h peek se      kya sch h  ,0
isnt it true mommies       even if all we did today was play and spend time  with our kiddos and helped them become better human beings      thats really something special   ,1
hi momz    plz suggest    i dnt hve steamer so i just boil apple and blend it    iz it ok    plz plz tel,1
c section ke bad jo belt use ki jati h kis naam se mile lower abdomen ke liy,0
hi mommies within how hours formula milk can consume for baby any suggestions plzz,1
meri normal hua hai fir v back shoulder   spinal cord   tail bone   legs sab jagah pain hota hai   pata nai kb thik hoga     doctor ne calcium ka dose badha diya mujhe,0
hi all   mera beta 2  5 yrs ka hai lekin kaju badam bilkul nahi khata   usko kaise du  ,0
meri baby 5 month ki h phle m usko uper ka milk deti thi tb y daily poti krti thi phir maine uper ka milk bnd kr dus toh ab y 2 3 dun m ek bar port jati h     kya y problem h koi     pls suggest  my baby is 5 months ago   i used to give her milk   then i used to have a lot of milk   then i can stop my milk   what is the port of 2 days   is there any problem     plus suggest    rate this translation,1
maine to 4th month se start kia tha,0
hii ladies   mera 8 months baby doodh bahut palat ta h please sugg  me kya kru,1
